MES/AÑO,TIPO CLIENTES,PRODUCTO,% TIENDAS IMPACTADAS
201902,CLIENTES GRANDES,A19,100
201902,CLIENTES GRANDES,A20,100
201902,CLIENTES GRANDES,A21,93
201902,CLIENTES GRANDES,A22,94
201902,CLIENTES GRANDES,A23,100
201902,CLIENTES GRANDES,A24,87
201902,CLIENTES PEQUEÑOS,A1,43
201902,CLIENTES PEQUEÑOS,A2,28
201902,CLIENTES PEQUEÑOS,A3,22
201902,CLIENTES PEQUEÑOS,A4,66
201902,CLIENTES PEQUEÑOS,A5,30
201902,CLIENTES PEQUEÑOS,A6,4
201902,CLIENTES PEQUEÑOS,A7,3
201902,CLIENTES PEQUEÑOS,A8,22
201902,CLIENTES PEQUEÑOS,A9,30
201902,CLIENTES PEQUEÑOS,A10,27
201902,CLIENTES PEQUEÑOS,A11,31
201902,CLIENTES PEQUEÑOS,A14,35
201902,CLIENTES PEQUEÑOS,A15,6
201902,CLIENTES PEQUEÑOS,A16,4
201902,CLIENTES PEQUEÑOS,A17,10
201902,CLIENTES PEQUEÑOS,A18,79
201902,CLIENTES PEQUEÑOS,A19,66
201902,CLIENTES PEQUEÑOS,A20,59
201902,CLIENTES PEQUEÑOS,A21,65
